scanner_version,target,resolved_ip,scan_type,started_at,duration_seconds,port,state,service,banner,reason
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,1,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,2,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,3,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,4,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,5,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,6,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,7,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,8,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,9,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,10,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,11,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,12,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,13,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,14,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,15,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,16,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,17,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,18,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,19,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,20,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,21,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,22,filtered,unknown,,timeout
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,23,open,Telnet,,connection succeeded
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,24,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,25,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,26,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,27,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,28,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,29,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,30,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,31,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,32,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,33,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,34,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,35,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,36,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,37,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,38,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,39,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,40,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,41,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,42,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,43,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,44,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,45,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,46,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,47,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,48,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,49,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,50,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,51,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,52,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,53,open,DNS,,connection succeeded
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,54,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,55,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,56,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,57,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,58,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,59,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,60,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,61,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,62,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,63,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,64,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,65,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,66,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,67,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,68,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,69,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,70,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,71,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,72,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,73,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,74,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,75,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,76,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,77,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,78,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,79,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,80,open,HTTP,HTTP/1.1 404 Not Found,connection succeeded
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,81,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,82,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,83,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,84,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,85,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,86,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,87,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,88,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,89,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,90,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,91,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,92,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,93,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,94,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,95,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,96,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,97,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,98,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,99,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,100,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,101,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,102,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,103,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,104,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,105,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,106,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,107,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,108,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,109,closed,unknown,,connection refused
